騎手名,コース,1着,2着,3着,4着以下,単勝回収率,複勝回収率,単勝平均,単勝標準偏差,複勝平均,複勝標準偏差
池添謙,札幌芝2600m,4,1,2,17,0.71,0.95,4.28,0.81,3.26,2.9
池添謙,東京ダート1300m,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
池添謙,東京ダート1400m,0,1,1,14,0.0,1.04,0.0,0.0,8.3,3.0
池添謙,東京ダート1600m,1,1,1,20,0.16,0.63,3.7,0.0,4.83,3.04
池添謙,東京ダート2100m,0,0,1,6,0.0,0.84,0.0,0.0,5.9,0.0
池添謙,東京芝1400m,1,0,0,10,0.28,0.15,3.1,0.0,1.6,0.0
池添謙,東京芝1600m,4,1,3,30,1.45,0.61,13.8,10.39,2.89,1.86
池添謙,東京芝1800m,2,1,0,9,0.54,0.33,3.25,0.25,1.33,0.05
池添謙,東京芝2000m,3,0,1,14,2.88,1.37,17.27,8.97,6.15,5.68
池添謙,東京芝2400m,1,0,0,7,0.86,0.3,6.9,0.0,2.4,0.0
池添謙,東京芝2500m,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
池添謙,東京芝3400m,0,1,0,1,0.0,1.55,0.0,0.0,3.1,0.0
池添謙,福島ダート1150m,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
池添謙,福島ダート1700m,1,0,0,4,0.94,0.3,4.7,0.0,1.5,0.0
池添謙,福島ダート2400m,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
池添謙,福島芝1200m,0,0,1,3,0.0,0.4,0.0,0.0,1.6,0.0
池添謙,福島芝1800m,0,1,0,4,0.0,0.92,0.0,0.0,4.6,0.0
池添謙,福島芝2000m,1,1,0,3,1.28,0.7,6.4,0.0,1.75,0.25
池添謙,福島芝2600m,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
池添謙,阪神ダート1200m,3,8,5,52,0.27,0.67,6.13,5.93,2.84,2.05
池添謙,阪神ダート1400m,4,11,5,109,0.13,0.61,4.25,1.22,3.93,6.06
池添謙,阪神ダート1800m,12,9,13,92,0.82,0.62,8.62,6.36,2.28,1.32
池添謙,阪神ダート2000m,0,2,1,14,0.0,1.28,0.0,0.0,7.23,4.89
池添謙,阪神芝1200m,1,1,1,22,5.01,1.23,125.3,0.0,10.27,11.83
池添謙,阪神芝1400m,2,4,3,57,0.15,0.29,4.85,1.85,2.12,1.06
池添謙,阪神芝1600m,4,5,14,84,0.41,0.63,11.1,13.08,2.93,1.82
池添謙,阪神芝1800m,9,8,2,53,0.57,0.54,4.56,2.94,2.06,0.93
池添謙,阪神芝2000m,4,10,7,46,0.25,0.69,4.17,1.56,2.21,1.13
池添謙,阪神芝2200m,1,3,4,20,0.1,1.19,2.8,0.0,4.15,3.62
池添謙,阪神芝2400m,3,4,1,12,0.4,0.86,2.63,1.27,2.15,1.15
池添謙,阪神芝2600m,1,1,1,5,1.05,0.81,8.4,0.0,2.17,0.48
池添謙,阪神芝3000m,1,0,0,6,0.81,0.34,5.7,0.0,2.4,0.0
池添謙,阪神芝3200m,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
モレイ,中京ダート1200m,0,0,1,0,0.0,1.2,0.0,0.0,1.2,0.0
モレイ,中京ダート1400m,1,0,1,2,0.75,0.75,3.0,0.0,1.5,0.1
モレイ,中京ダート1800m,1,1,0,4,1.32,0.63,7.9,0.0,1.9,0.7
モレイ,中京芝1200m,1,0,0,2,1.27,0.53,3.8,0.0,1.6,0.0
モレイ,中京芝1400m,0,1,0,1,0.0,0.6,0.0,0.0,1.2,0.0
モレイ,中京芝1600m,1,0,0,1,0.9,0.55,1.8,0.0,1.1,0.0
モレイ,中京芝2000m,0,1,1,1,0.0,1.83,0.0,0.0,2.75,1.55
モレイ,中京芝2200m,1,0,0,2,1.33,0.63,4.0,0.0,1.9,0.0
モレイ,中山ダート1200m,5,4,0,13,0.64,0.6,2.82,1.38,1.48,0.36
モレイ,中山ダート1800m,5,1,1,12,0.65,0.46,2.48,1.09,1.24,0.21
モレイ,中山ダート2400m,1,0,1,1,0.8,0.8,2.4,0.0,1.2,0.1
モレイ,中山芝1200m,2,0,2,2,0.62,0.73,1.85,0.05,1.1,0.0
モレイ,中山芝1600m,3,1,2,9,0.3,0.48,1.5,0.16,1.2,0.18
